lat,lon,region,state,station,H,P,R,T,V,sH,sP,sR,sT,sV
-20.78999999,-51.71222222,N,PA,RONDON DO PARA,65.41704148196045,976.5462783203128,96.36635161135159,25.044152419683112,1.1934544332960975,18.037628553028007,2.496272907262369,62.030022412759784,4.5556296395736835,1.0122331947061507
-10.18333333,-48.3,SE,RJ,MACAE,62.85861397437959,978.8030067124554,119.19810606060601,27.395393532303498,1.507133407805549,15.22592693428898,1.6907124617492932,65.99352871280432,3.735601861121459,1.3287630295021786
-12.615,-47.87194443,CO,MT,ALTO TAQUARI,63.6295996596823,979.7426003126083,77.53424242424241,26.213580872806887,1.1031673538057825,18.317298076116895,1.8689111370864857,61.784950750756174,4.562656121483859,1.0428306308919657
-12.01666666,-48.55,S,SC,DIONISIO CERQUEIRA,67.32092010793674,982.9732309750043,89.63176767676765,26.68751237679827,1.2518196610083547,17.746499989460464,1.7950429775779517,49.54259707883759,4.104679664072337,1.1949228932257607
-11.74583333,-49.04972221,NE,BA,ITAPETINGA,69.61436193847024,979.9398116705911,114.75643939393937,26.025416101172045,1.1648770441628797,18.73877302179216,1.793785809176989,58.6536722669758,4.51709867095749,1.22737510612908
-8.9686111,-48.19416666,CO,MS,BELA VISTA,71.40058257954945,990.0090805311023,134.72184343434338,26.888330862706585,0.7625095358117472,17.42660474404497,1.7804497012221967,62.84128882502734,4.056121805783552,0.8836087332240444
-7.10416666,-48.20111111,N,PA,TUCUMA,76.00712915424472,985.100185154396,129.76810606060604,25.735893108327115,0.7727643770771482,16.837615080772785,1.7140689123554536,65.57359147072238,4.106313551545585,0.9623221410512993
-11.59416666,-46.84722221,NE,PI,FLORIANO,61.481472839976796,931.5189156241869,117.99772727272723,24.907702642722782,2.8429049214268667,14.161435432632357,1.5732375760102517,65.65662862433692,3.2951927169750803,1.497540263106077
-11.98722221,-49.60833333,NE,BA,DELFINO,65.88126875046777,987.1051132006214,75.72107323232323,26.977720016912716,1.6968962114138,15.613396124559001,1.740084789522976,65.4431325915223,3.857007695336082,1.0026599505969214
-10.42999999,-45.91999999,N,TO,ARAGUATINS,61.346600165240766,924.9894619446262,76.7119841269841,23.955708220008617,3.4122875145466494,16.60968788130845,1.5194101059362415,52.76122205476539,4.0005287916422,1.5624341640874693
-9.57666666,-49.72333332,CO,MT,GUIRATINGA,70.09071994030688,990.0089618374317,92.36488095238093,27.182028640751696,1.9588376852927016,17.270185942247984,1.8156226554990376,82.29425211782366,3.96173554970834,1.3066933012234492
-22.30666666,-53.82722221,NE,CE,JAGUARUANA,67.75127623754895,969.5289473848043,105.66279461279463,23.76769326397235,2.579444385436153,17.06050854778427,2.6417371308053466,64.49257323296952,4.375626269614311,1.3548853619825323
-8.15472222,-46.63916666,N,TO,PEIXE,67.2623298184064,963.8420666431284,92.1197222222222,25.71931874771313,2.0221399790771764,15.429280209376032,1.5959202657954694,53.06030269056718,3.571180904936739,1.075952546130505
-5.6436111,-48.11166666,NE,PE,RECIFE,69.84546524747883,996.1227483576272,119.09372053872052,27.25097241531813,1.5818870035736612,14.90048981165159,1.7686194051459863,59.511094858378236,3.440989200194539,1.0009201418023141
-7.12416666,-48.78138888,NE,CE,GUARAMIRANGA,73.23508747129691,988.5394109103954,73.77083333333333,26.408836734699726,2.0868647274169883,16.502925001540063,1.6670254378531428,33.979658091538184,4.230382094500613,1.3614968384015353
-8.09277777,-48.4786111,CO,MT,SALTO DO CEU,75.11200789114088,986.4339570043835,123.3944444444444,26.294871628850256,1.7045088906968913,17.205831945769805,1.7773428509479228,63.64531553568782,4.181886850338382,1.1428499068315356
-9.16,-47.13277777,CO,DF,BRASILIA,76.95752708010197,976.1836709892867,123.14583333333327,25.096930416233445,1.616496657274461,18.733327039682894,1.6735934976125701,70.31111394403355,4.414115949936831,1.1079045164431163
-10.47694443,-49.62944443,S,SC,Laguna  - Farol de Santa Marta,77.89105746462648,990.3788244817283,139.69027777777777,25.879586054913734,1.3617897676895854,18.071067611789314,1.816899043111478,66.68722622300862,4.765051944129964,0.9059914291608133
-11.04638888,-48.18555555,S,RS,SAO GABRIEL,65.47315775307277,977.72992116028,109.90944444444439,26.47016316124015,2.1925454009578886,17.325295716122085,1.8036933397705261,65.03403051776557,4.416190620097969,1.2210693680758964
-11.28416666,-47.21222222,N,AM,MANAUS,67.7068081864391,954.5687080124836,106.05972222222219,25.690446387380714,1.537755840687599,15.820926665907017,1.7621414190975135,48.918818612359566,3.95023135785812,1.0349335254604746
-12.59222221,-49.5286111,CO,MT,CAMPO VERDE,68.42621388472298,985.7074027941312,113.15111111111109,26.794824354078315,1.7912712216616544,20.625819293825757,1.9133243882638211,68.45534373804607,4.734092281724574,1.1953368785717995
-10.80833333,-49.84777777,S,SC,BOM JARDIM DA SERRA - MORRO DA IGREJA,75.51042091529423,990.7481988894134,97.66111111111108,26.153699331022526,1.235870480089898,17.71309144477281,1.7869200506125782,56.885381512610614,4.509539630081581,0.9055848966522069
-19.69527777,-51.18138888,NE,BA,ITIRUCU,67.89484270360064,967.1907178025899,79.06851851851852,24.37104428026606,1.8637053950798113,18.04136392089726,2.273576093301267,50.42544389522438,4.383196053844707,1.3710071658241425
-20.26666666,-40.3,SE,SP,VOTUPORANGA,76.06262622899229,1016.1211588068792,115.75909090909089,24.42622475763776,1.8085854175795266,14.399808664963833,2.911519912616902,107.01678295457468,3.083177337613282,0.9853226655266404
-19.98833333,-40.57944443,CO,MT,ALTA FLORESTA,89.6677456368101,907.1342424795477,127.31620370370366,18.315219464729314,1.864806936974893,12.288572476367607,2.1681198895779574,102.28576333982312,2.831934630216716,1.266663046344748
-19.35694444,-40.0686111,SE,MG,RIO PARDO DE MINAS,76.10346033044802,1011.8513910208131,90.39239898989898,24.29103269433757,2.9254982558092197,13.939866356543744,2.6651433253297627,74.72352627197125,2.9742457778382403,1.7133227334189696
-20.63638888,-40.74138888,CO,MT,RONDONOPOLIS,71.90412250294513,1012.8468339650818,129.65623737373735,24.240796962330702,1.9039445001050321,14.554330829003023,3.180795885395801,92.36978935590285,3.569479218358938,1.0845454357829163
-18.71388888,-39.84833333,SE,RJ,PARATI,81.84746047651761,1011.8407632169066,90.7506313131313,24.03458718029778,2.549308836271079,12.95676693845725,2.5493572767245425,65.2569906806357,2.871536273696284,1.4120816387591757
-20.75055555,-41.48888888,SE,MG,SAO JOAO DEL REI,72.19029499754683,1000.528368852274,105.87487373737372,24.025215082529332,1.4199239314541179,18.27932909771968,3.110593108818629,67.49307583767809,4.257510425695561,0.9474256277147947
-21.10111111,-41.03888888,NE,BA,UNA,75.77468051912648,1006.712744011919,79.53707070707067,23.984274176160255,3.7622695823934205,14.400562026193482,3.1308086187309017,77.4391693728481,3.086594985803203,2.065781015947022
-18.69527777,-40.4075,SE,MG,CAMPINA VERDE,76.0285604300828,998.341207738185,76.03924242424243,23.89199349492964,2.0938619357189037,16.410973438251908,2.548245326217125,61.64039413254047,3.576728891123461,1.1991884810305402
-18.29166666,-40.73638888,S,SC,ITUPORANGA,77.2668235482197,990.1728436703285,71.68888888888888,24.017760772622967,1.8376413935517555,16.87879538921123,2.6351051485450383,44.50576492819306,3.6170594956409814,1.208072164382928
-19.40722222,-40.53972221,S,RS,SANTIAGO,77.30407217246241,1004.5263513146787,78.2361111111111,24.15215495693732,1.343851503686574,16.822716083909974,2.798000172154342,47.64994051948381,3.848237020974644,0.9731787885949394
-18.98888888,-56.62305554,NE,BA,GUANAMBI,72.46560927736441,1000.080096465892,76.17128787878788,25.35314606943757,1.727850599427513,18.31240346525423,2.8610353097843233,52.43213934600352,4.938950568146565,1.607528363756989
-20.25222222,-41.18999999,NE,BA,EUCLIDES DA CUNHA,81.29919622198464,935.9165648371367,85.2083333333333,19.82061861624356,0.9995567150533486,16.642389807461154,2.2740177838671536,44.14481983506654,3.978623625682222,0.7867317971141091
-20.46694443,-40.40416666,NE,PE,CABROBO,80.95438022758222,1012.2686311047747,100.45833333333333,23.95816888137423,3.0399918950699636,12.504663237536532,3.0257682335879372,54.852723855252385,3.055521593750702,1.6471341214847246
-20.10416666,-41.10694444,SE,MG,GUANHAES,71.8474831501615,957.9664472589812,62.9692791005291,22.419822668930873,1.998466991203288,16.65460698437938,2.5018747762498568,49.6529564098241,3.686044569818186,1.2284770495847148
-21.22888888,-43.76694443,S,PR,MARINGA,78.40616640507184,889.0369216539498,121.26376262626262,18.60629914217636,1.9546670626318743,15.590754742329318,2.2166722411245625,65.48607046032133,3.514476181158812,1.0568809565905868
-19.60555555,-46.94944444,N,AM,HUMAITA,64.75328544597302,902.373761546186,119.5544949494949,21.587833443619157,2.5044405215510124,15.719853798140862,1.9400976436347024,70.9800708556938,3.598797779058834,1.2867149746433215
-16.71666666,-43.86666666,SE,MG,JUIZ DE FORA,59.582477056183905,941.8811855766891,63.5738047138047,23.98914949986867,1.741091779209043,16.92406054225175,2.1670507187862023,54.64701599330957,4.238425914554155,1.2494176704156044
-18.91722221,-48.25555555,SE,SP,FRANCA,60.902512113285354,917.2542727218851,119.49898989898986,23.320452075266164,1.781208875453789,16.958914729616026,1.8952539825470323,53.338536507420116,3.6258965174628304,1.0412430038132172
-16.16666666,-40.68777777,SE,RJ,SAO TOME,66.52810745402655,994.0392142246554,53.96815656565656,25.546445590749652,1.5896009537294333,17.74791872164237,2.4567967232773174,52.04697830087729,3.5746382389322915,1.1586767193132432
-22.86138888,-46.04333333,SE,ES,PRES. KENNEDY,81.85764061304347,849.0491035395839,134.85909090909087,15.280123190072082,1.4418498998158737,15.312248005198947,2.0094967828902695,83.28132847084683,3.985350295687514,0.9905386614099764
-20.76277777,-42.86388888,N,PA,SERRA DOS CARAJAS,79.26880505957573,937.3364678438717,100.25580808080804,19.962860030951436,0.8625100819346462,16.8513555303436,2.4406074084917853,60.657067666594656,4.043429861854039,0.9785535090567351
-20.47555554,-55.78388888,S,PR,DOIS VIZINHOS,70.22312089938987,994.4413898837801,98.90038720538722,25.281999365487437,1.139043272286206,17.342597790717043,2.7550918203948283,66.43222496564628,4.666999401636232,1.126657256395545
-19.5736111,-42.62222221,S,RS,SAO JOSE DOS AUSENTES,70.66065138133769,960.3920826179741,98.28060606060603,22.6812977628573,1.035600120082341,13.781470426182887,2.5514962530605767,77.65825638940105,3.1501326420182587,0.7424923486877547
-18.95277777,-49.52499999,CO,MT,PONTES E LACERDA,67.9242431741224,952.8526543650391,104.96068181818178,23.795453779283605,1.4530572387120582,18.26430644082859,2.07325359134496,54.032530246706244,4.693269443161577,1.3307534798742082
-20.54583333,-43.76944443,S,RS,RIO GRANDE,73.99983408191788,899.6427139666758,108.68671717171713,19.717876898404665,2.06955727561306,15.972751795725067,2.144879350344895,61.83059053495418,3.6496103628388146,1.0826639172156305
-21.22638888,-44.97944443,SE,MG,ITAOBIM,74.82847498146496,910.7073661857524,118.53042929292927,19.78992337548201,2.3839936450884243,18.409866124469,2.321012999799188,58.19329567880717,4.237443775823249,1.5145978489629168
-21.56638888,-45.40416666,S,SC,ARARANGUA,71.92627208102654,909.8507360423818,97.68138888888886,20.20517304317816,1.7655550811538052,18.212976654029237,2.2320191869730523,54.453612610619075,3.9293428803304082,1.1110723145330106
-20.74499999,-46.63388888,NE,CE,ACARAU,72.53527842575703,927.2145571209579,92.0581481481481,21.262478391489353,1.6399591721101385,17.48364570185508,2.1174811684620516,50.463390610254955,4.268139246877397,1.350979150726423
